epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93354,1.3636,9.00904,0.03514,0,0,0,0,0.83537,5.27312,0.0071,0.0007,0.0007,0.0937
2,12.7771,1.0723,6.9757,0.02525,0,0,0,0,3.59022,6.27565,0.04313,0.0014703,0.0014703,0.0864703
3,15.2636,1.04233,5.89046,0.02644,0,0,0,0,2.66465,6.41002,0.03034,0.00220892,0.00220892,0.0792089
4,17.9427,1.04728,5.40431,0.02381,0,0,0,0,2.57398,6.91244,0.02538,0.00291586,0.00291586,0.0719159
5,20.8388,1.11364,5.16659,0.02674,0,0,0,0,3.50351,7.78902,0.0464,0.00359112,0.00359112,0.0645911
6,23.6638,1.08745,4.96443,0.02515,0,0,0,0,4.49591,7.97408,0.08151,0.0042347,0.0042347,0.0572347
7,26.4149,1.03184,4.87099,0.02382,0,0,0,0,4.11094,27.7993,0.09966,0.0048466,0.0048466,0.0498466
8,29.0359,1.02536,4.7637,0.02301,0,0,0,0,1.15851,207.932,0.05676,0.00542682,0.00542682,0.0424268
9,31.5972,1.14848,4.64964,0.02689,0,0,0,0,1.15927,56.6183,0.05631,0.00597536,0.00597536,0.0349754
10,34.0988,1.13264,4.43274,0.026,0,0,0,0,0.65533,262.162,0.02416,0.00649222,0.00649222,0.0274922
11,36.6944,1.03614,4.22414,0.02331,0,0,0,0,0.70249,19.8011,0.03526,0.0069774,0.0069774,0.0199774
12,39.3346,1.1723,4.23649,0.02757,0,0,0,0,1.82903,4.13438,0.07672,0.0074309,0.0074309,0.0124309
13,41.7787,1.21884,4.12938,0.02855,0,0,0,0,0.87841,150.732,0.03526,0.007624,0.007624,0.007624
14,44.2461,1.1948,4.00803,0.02727,0,0,0,0,0.5546,159.184,0.02837,0.007426,0.007426,0.007426
15,46.7672,1.28511,3.86909,0.02947,0,0,0,0,0.51843,33.682,0.02366,0.007228,0.007228,0.007228
16,49.2382,1.21456,3.86643,0.02871,0,0,0,0,0.7769,12.9509,0.03086,0.00703,0.00703,0.00703
17,51.911,1.24037,3.78459,0.02966,0,0,0,0,2.65407,9.27326,0.07347,0.006832,0.006832,0.006832
18,54.3804,1.21499,3.71085,0.02965,0.00028,0.00357,0.0001,5e-05,3.71683,8.06093,0.11379,0.006634,0.006634,0.006634
19,56.8603,1.20872,3.6526,0.02934,0.0007,0.00714,0.00214,0.00118,4.09382,8.54407,0.14136,0.006436,0.006436,0.006436
20,59.3382,1.21954,3.56889,0.02917,0.00254,0.14643,0.01924,0.00609,4.30399,8.22125,0.15594,0.006238,0.006238,0.006238
21,61.8755,1.25898,3.50962,0.02809,0.00029,0.00357,0.00321,0.00161,4.79306,7.49118,0.16682,0.00604,0.00604,0.00604
22,64.3896,1.21348,3.50137,0.02855,0,0,0,0,4.82972,6.27992,0.19529,0.005842,0.005842,0.005842
23,67.1996,1.03286,3.41732,0.02449,0.01628,0.14286,0.03326,0.01346,2.31415,3.4592,0.11201,0.005644,0.005644,0.005644
24,69.9872,1.23102,3.45204,0.02734,0.00734,0.14286,0.07061,0.02686,1.01575,3.16107,0.05106,0.005446,0.005446,0.005446
25,72.6719,1.13943,3.39524,0.02696,0.00225,0.14286,0.0152,0.00323,1.68101,9.10285,0.08272,0.005248,0.005248,0.005248
26,75.2653,1.17528,3.38289,0.02782,0.00591,0.14286,0.00792,0.00234,3.14938,8.23782,0.14324,0.00505,0.00505,0.00505
27,77.9764,1.13532,3.34527,0.02544,0,0,0,0,2.83284,6.64824,0.13089,0.004852,0.004852,0.004852
28,80.7691,1.0172,3.29947,0.023,0.00062,0.09184,0.00077,0.00013,2.49172,9.66565,0.10765,0.004654,0.004654,0.004654
29,83.3367,1.05799,3.27173,0.02478,0.00073,0.13265,0.00085,9e-05,4.38636,19.0463,0.12923,0.004456,0.004456,0.004456
30,86.0595,0.97444,3.24963,0.0232,0.0008,0.14286,0.00127,0.00013,4.13525,16.4787,0.11163,0.004258,0.004258,0.004258
31,88.7283,1.12543,3.3006,0.02616,0.00084,0.14286,0.00216,0.00112,3.7296,15.864,0.10657,0.00406,0.00406,0.00406
32,91.3592,1.08397,3.18793,0.02568,0.00074,0.14286,0.00147,0.00118,1.34891,15.7713,0.05458,0.003862,0.003862,0.003862
33,93.9626,0.96188,3.17871,0.02114,0.00072,0.14286,0.00131,0.00078,0.30909,16.5508,0.01525,0.003664,0.003664,0.003664
34,96.7907,1.13838,3.21852,0.02634,0.00073,0.14286,0.00094,0.0006,0.23874,14.6338,0.0114,0.003466,0.003466,0.003466
35,99.4013,0.99909,3.16499,0.02127,0.00071,0.14286,0.00299,0.00239,0.18253,14.8054,0.00811,0.003268,0.003268,0.003268
36,101.894,1.02553,3.1853,0.02414,0.37502,0.07143,0.09045,0.04848,0.61657,16.252,0.02928,0.00307,0.00307,0.00307
37,104.548,1.12306,3.18571,0.02567,0.37681,0.07143,0.10914,0.04374,1.37896,16.6266,0.06286,0.002872,0.002872,0.002872
38,107.313,1.09076,3.17062,0.02522,0.3753,0.07143,0.09589,0.03842,2.07163,14.1738,0.08339,0.002674,0.002674,0.002674
39,110.114,1.05556,3.16975,0.02535,0.3667,0.07143,0.10305,0.05584,2.32395,10.1063,0.08581,0.002476,0.002476,0.002476
40,112.877,1.08472,3.25204,0.0259,0.36752,0.07143,0.10921,0.08737,1.58303,8.56414,0.06414,0.002278,0.002278,0.002278
41,138.507,1.21505,3.52364,0.04339,0.3709,0.07143,0.09887,0.06172,2.94348,15.6845,0.08812,0.00208,0.00208,0.00208
42,140.999,1.13166,3.3066,0.04008,0.35795,0.07143,0.07803,0.03123,3.31928,20.9826,0.10524,0.001882,0.001882,0.001882
43,143.403,1.25986,3.29551,0.04951,0.00094,0.14286,0.00689,0.00203,3.34189,20.2661,0.12471,0.001684,0.001684,0.001684
44,145.785,1.22704,3.16351,0.05089,0.35757,0.07143,0.00762,0.00185,2.9116,17.3416,0.13673,0.001486,0.001486,0.001486
45,148.47,1.06073,3.10353,0.04318,0.35776,0.07143,0.015,0.00467,3.30521,16.3312,0.15124,0.001288,0.001288,0.001288
46,151.044,0.90688,3.12266,0.03643,0.35812,0.07143,0.03435,0.01718,3.3822,17.8633,0.15063,0.00109,0.00109,0.00109
47,153.528,0.81393,3.10945,0.03123,0.35827,0.07143,0.06469,0.03883,3.24521,21.2953,0.14137,0.000892,0.000892,0.000892
48,155.884,0.83175,3.12512,0.03215,0.35808,0.07143,0.04357,0.0305,3.07363,22.4827,0.14153,0.000694,0.000694,0.000694
49,158.341,0.91277,3.12364,0.03507,0.35782,0.07143,0.00685,0.00501,3.19673,22.3488,0.14646,0.000496,0.000496,0.000496
50,161.246,0.74743,3.07379,0.02746,0.35791,0.07143,0.00541,0.00415,2.9192,21.0694,0.13932,0.000298,0.000298,0.000298
